"TermSetName","TermSetDescription","LCID","AvailableForTagging","TermDescription","Level1","Level2","Level3","Level4","Level5","Level6","Level7"
"","","","TRUE","","All Sites","Regional Offices","El Dorado","","","",""
"","","","TRUE","","All Sites","EFS","EL REGALO BUCKHORN 2H","","","",""
"","","","TRUE","","All Sites","EFS","EL REGALO BUCKHORN 4H","","","",""
"","","","TRUE","","All Sites","EFS","EL REGALO BUCKHORN 6H","","","",""
"","","","TRUE","","All Sites","EFS","EL REGALO BUCKHORN 7H","","","",""
"","","","TRUE","","All Sites","EFS","EL REGALO BUCKHORN 9H","","","",""
"","","","TRUE","","All Sites","Remote/VPN Offices","ELD Hangar","","","",""
"","","","TRUE","","All Sites","EFS","ESSE PRODUCTION FACILITY","","","",""
"","","","TRUE","","All Sites","EFS","FERNANDEZ UNIT 1H","","","",""
"","","","TRUE","","All Sites","Remote/VPN Offices","Fourchon","","","",""
"","","","TRUE","","All Sites","Remote/VPN Offices","Fox Creek","","","",""
"","","","TRUE","","All Sites","GOM","Frontrunner","","","",""
"","","","TRUE","","All Sites","EFS","GILBERT UNIT 1H","","","",""
"","","","TRUE","","All Sites","EFS","GILBERT UNIT 2H","","","",""
"","","","TRUE","","All Sites","GOM","","","","",""
"","","","TRUE","","All Sites","Sarawak","GOPA","","","",""
"","","","TRUE","","All Sites","Sarawak","GOPB","","","",""
"","","","TRUE","","All Sites","EFS","GUBBELS 3H","","","",""
"","","","TRUE","","All Sites","EFS","GUBBELS UNIT A 1H","","","",""
"","","","TRUE","","All Sites","EFS","HAZEL UNIT 2H","","","",""
"","","","TRUE","","All Sites","EFS","HELMCAMP KING UNIT A 1H","","","",""
"","","","TRUE","","All Sites","EFS","HERBST S UNIT B 1H","","","",""
"","","","TRUE","","All Sites","EFS","HERBST UNIT A 1H","","","",""
"","","","TRUE","","All Sites","EFS","HERBST-MAY UNIT 2H","","","",""
"","","","TRUE","","All Sites","Regional Offices","Ho Chi Minh City","","","",""
"","","","TRUE","","All Sites","Data Centers","HOU","","","",""
"","","","TRUE","","All Sites","Regional Offices","Houston","","","",""
"","","","TRUE","","All Sites","EFS","Jambers","","","",""
"","","","TRUE","","All Sites","EFS","JAMBERS 12H","","","",""
"","","","TRUE","","All Sites","EFS","JAMBERS 17H","","","",""
"","","","TRUE","","All Sites","EFS","JAMBERS 19H","","","",""
"","","","TRUE","","All Sites","EFS","JAMBERS 1H","","","",""
"","","","TRUE","","All Sites","EFS","JAMBERS 24H","","","",""
"","","","TRUE","","All Sites","EFS","JAMBERS 37H","","","",""
"","","","TRUE","","All Sites","EFS","JAMBERS 45H","","","",""
"","","","TRUE","","All Sites","EFS","JAMBERS 49H","","","",""
"","","","TRUE","","All Sites","EFS","JAMBERS 4H","","","",""
"","","","TRUE","","All Sites","EFS","JAMBERS 54H","","","",""
"","","","TRUE","","All Sites","EFS","JAMBERS 57H","","","",""
"","","","TRUE","","All Sites","EFS","JAMBERS 5H","","","",""
"","","","TRUE","","All Sites","EFS","JAMBERS 62 H","","","",""
"","","","TRUE","","All Sites","EFS","JAMBERS 65H","","","",""
"","","","TRUE","","All Sites","EFS","JAMBERS 68H","","","",""
"","","","TRUE","","All Sites","EFS","JAMBERS 8H","","","",""
"","","","TRUE","","All Sites","EFS","JAMBERS 9H","","","",""
"","","","TRUE","","All Sites","EFS","JANYSEK UNIT 2H","","","",""
"","","","TRUE","","All Sites","EFS","JANYSEK UNIT 4H","","","",""
"","","","TRUE","","All Sites","EFS","JANYSEK UNIT 6H","","","",""
"","","","TRUE","","All Sites","EFS","JEFFREY 1H","","","",""
"","","","TRUE","","All Sites","EFS","JENDREZY 2H","","","",""
"","","","TRUE","","All Sites","EFS","JENDRZEY 3H","","","",""
"","","","TRUE","","All Sites","EFS","Jog","","","",""
"","","","TRUE","","All Sites","EFS","JOG UNIT 1H","","","",""
"","","","TRUE","","All Sites","EFS","JOG UNIT 2H","","","",""
"","","","TRUE","","All Sites","EFS","JOG UNIT 4H","","","",""
"","","","TRUE","","All Sites","EFS","JOG UNIT 5H","","","",""
"","","","TRUE","","All Sites","EFS","JOG UNIT E 1H","","","",""
"","","","TRUE","","All Sites","EFS","JOHN JR UNIT 1H","","","",""
"","","","TRUE","","All Sites","EFS","JOSEPH UNIT 4H","","","",""
"","","","TRUE","","All Sites","EFS","Karnes Office","","","",""
"","","","TRUE","","All Sites","EFS","KAS","","","",""
"","","","TRUE","","All Sites","EFS","KAS UNIT SOUTH 4H","","","",""
"","","","TRUE","","All Sites","EFS","KAT UNIT 1H","","","",""
"","","","TRUE","","All Sites","EFS","KAT UNIT 2H","","","",""
"","","","TRUE","","All Sites","EFS","KAT UNIT 3H","","","",""
"","","","TRUE","","All Sites","EFS","KBS CENTRAL FACILITY","","","",""
"","","","TRUE","","All Sites","EFS","KC UNIT 2H","","","",""
"","","","TRUE","","All Sites","EFS","KC UNIT 3H","","","",""
"","","","TRUE","","All Sites","EFS","KETCHBAW UNIT 2H","","","",""
"","","","TRUE","","All Sites","EFS","KETCHBAW UNIT 4H","","","",""
"","","","TRUE","","All Sites","Labuan","Kikeh FPSO","","","",""
"","","","TRUE","","All Sites","EFS","KING UNIT A 1H","","","",""
"","","","TRUE","","All Sites","EFS","KING UNIT B 1H","","","",""
"","","","TRUE","","All Sites","EFS","KING UNIT E 1H","","","",""
"","","","TRUE","","All Sites","EFS","KING-ERB UNIT B 1H","","","",""
"","","","TRUE","","All Sites","EFS","KONE 12H","","","",""
"","","","TRUE","","All Sites","EFS","KONE 18H","","","",""
"","","","TRUE","","All Sites","EFS","KONE 1H","","","",""
"","","","TRUE","","All Sites","EFS","KONE 22H","","","",""
"","","","TRUE","","All Sites","EFS","KONE 28H","","","",""
"","","","TRUE","","All Sites","EFS","KONE 2H","","","",""
"","","","TRUE","","All Sites","EFS","KONE 31H","","","",""
"","","","TRUE","","All Sites","EFS","KONE 38H","","","",""
"","","","TRUE","","All Sites","EFS","KONE 42H","","","",""
"","","","TRUE","","All Sites","EFS","KONE 46H","","","",""
"","","","TRUE","","All Sites","EFS","KONE 4H","","","",""
"","","","TRUE","","All Sites","EFS","KONE 52H","","","",""
"","","","TRUE","","All Sites","EFS","KONE 56H","","","",""
"","","","TRUE","","All Sites","EFS","KONE 5H","","","",""
"","","","TRUE","","All Sites","EFS","KONE 60H","","","",""
"","","","TRUE","","All Sites","EFS","KONE 8H","","","",""
"","","","TRUE","","All Sites","EFS","KONE CENTRAL FACILITY","","","",""
"","","","TRUE","","All Sites","EFS","KOWALIK UNIT B 1H","","","",""
"","","","TRUE","","All Sites","EFS","KRUCIAK UNIT 1H","","","",""
"","","","TRUE","","All Sites","EFS","KUYKENDALL 1H","","","",""
"","","","TRUE","","All Sites","EFS","KYLIE UNIT 2H","","","",""
"","","","TRUE","","All Sites","EFS","KYLIE UNIT 4H","","","",""
"","","","TRUE","","All Sites","EFS","L KELLNER UNIT 3H","","","",""
"","","","TRUE","","All Sites","Labuan","","","","",""
"","","","TRUE","","All Sites","Labuan","Labuan Office","","","",""
"","","","TRUE","","All Sites","Labuan","Labuan Warehouse","","","",""
"","","","TRUE","","All Sites","EFS","LATKA CENTRAL FACILITY","","","",""
"","","","TRUE","","All Sites","EFS","LATKA UNIT 1H","","","",""
"","","","TRUE","","All Sites","EFS","LATKA UNIT 4H","","","",""
"","","","TRUE","","All Sites","EFS","LEWIS UNIT 1H","","","",""
"","","","TRUE","","All Sites","EFS","Linhart 10AC","","","",""
"","","","TRUE","","All Sites","EFS","LINHART 1H","","","",""
"","","","TRUE","","All Sites","EFS","LINHART 40 ACRE SURFACE SITE","","","",""
"","","","TRUE","","All Sites","EFS","LINHART CENTRAL FACILITY","","","",""
"","","","TRUE","","All Sites","EFS","LONE STAR UNIT 1H","","","",""
"","","","TRUE","","All Sites","EFS","LSWT 1H","","","",""
"","","","TRUE","","All Sites","EFS","LYSSY UNIT 2H","","","",""
"","","","TRUE","","All Sites","EFS","LYTLE UNIT 1H","","","",""
"","","","TRUE","","All Sites","EFS","MANKA UNIT 5H","","","",""
"","","","TRUE","","All Sites","EFS","MCADA 1H","","","",""
"","","","TRUE","","All Sites","GOM","Medusa","","","",""
"","","","TRUE","","All Sites","Sarawak","MEPA","","","",""
"","","","TRUE","","All Sites","EFS","MONTGOMERY UNIT 2H","","","",""
"","","","TRUE","","All Sites","EFS","MONTGOMERY UNIT 4H","","","",""
"","","","TRUE","","All Sites","EFS","MOURSUND UNIT 2H","","","",""
"","","","TRUE","","All Sites","EFS","NANCY EDMUND UNIT 1H","","","",""
"","","","TRUE","","All Sites","EFS","NET UNIT 1H","","","",""
"","","","TRUE","","All Sites","EFS","NIBLING EAST UNIT 2H","","","",""
"","","","TRUE","","All Sites","EFS","PAT UNIT 1H","","","",""
"","","","TRUE","","All Sites","EFS","PATTON UNIT 1H","","","",""
"","","","TRUE","","All Sites","EFS","PDR UNIT 1H","","","",""
"","","","TRUE","","All Sites","EFS","PDR UNIT 3H","","","",""
"","","","TRUE","","All Sites","EFS","PDR UNIT 5H","","","",""
"","","","TRUE","","All Sites","EFS","PDR UNIT 6H","","","",""
"","","","TRUE","","All Sites","EFS","PDR UNIT 7H","","","",""
"","","","TRUE","","All Sites","EFS","PEELER 1H","","","",""
"","","","TRUE","","All Sites","EFS","PENNINGTON UNIT 2H","","","",""
"","","","TRUE","","All Sites","EFS","PENNINGTON UNIT 4H","","","",""
"","","","TRUE","","All Sites","EFS","PENNINGTON WILLIAMS CENTRAL FACILITY","","","",""
"","","","TRUE","","All Sites","EFS","Pennington Williams CF","","","",""
"","","","TRUE","","All Sites","Regional Offices","Perth","","","",""
"","","","TRUE","","All Sites","Sarawak","PRPA","","","",""
"","","","TRUE","","All Sites","Sarawak","PTSA","","","",""
"","","","TRUE","","All Sites","Vietnam Drilling","PVD II","","","",""
"","","","TRUE","","All Sites","EFS","QUINTANILLA 3H","","","",""
"","","","TRUE","","All Sites","EFS","R MTZ UNIT 1H","","","",""
"","","","TRUE","","All Sites","EFS","RALPH 1HR","","","",""
"","","","TRUE","","All Sites","EFS","RALPH 2H","","","",""
"","","","TRUE","","All Sites","Regional Offices","","","","",""
"","","","TRUE","","All Sites","Remote/VPN Offices","","","","",""
"","","","TRUE","","All Sites","EFS","RLT UNIT A 1H","","","",""
"","","","TRUE","","All Sites","EFS","ROARK UNIT 1H","","","",""
"","","","TRUE","","All Sites","EFS","ROOS UNIT 1H","","","",""
"","","","TRUE","","All Sites","EFS","ROXANA UNIT 1H","","","",""
"","","","TRUE","","All Sites","EFS","RYCHLIK UNIT 1H","","","",""
"","","","TRUE","","All Sites","EFS","S ? H TRUST 1H","","","",""
"","","","TRUE","","All Sites","Sarawak","SAAA","","","",""
"","","","TRUE","","All Sites","Sarawak","","","","",""
"","","","TRUE","","All Sites","Sarawak","SASA","","","",""
"","","","TRUE","","All Sites","EFS","SAYLEE SOUTH 1H","","","",""
"","","","TRUE","","All Sites","EFS","SAYLEE SOUTH 4H","","","",""
"","","","TRUE","","All Sites","EFS","SAYLEE SOUTH 7H","","","",""
"","","","TRUE","","All Sites","EFS","SAYLEE SOUTH CENTRAL FACILITY","","","",""
"","","","TRUE","","All Sites","EFS","SCARED DOG CENTRAL FACILITY","","","",""
"","","","TRUE","","All Sites","EFS","Schendel","","","",""
"","","","TRUE","","All Sites","EFS","SCHENDEL A1H","","","",""
"","","","TRUE","","All Sites","EFS","SCHENDEL B 1H","","","",""
"","","","TRUE","","All Sites","EFS","SCHENDEL C1H","","","",""
"","","","TRUE","","All Sites","EFS","SCHENDEL D 1H","","","",""
"","","","TRUE","","All Sites","EFS","SCHENDEL E 1H","","","",""
"","","","TRUE","","All Sites","EFS","SCHENDEL F 1H","","","",""
"","","","TRUE","","All Sites","EFS","SCHENDEL FACILITY","","","",""
"","","","TRUE","","All Sites","EFS","SCHENDEL G 1H","","","",""
"","","","TRUE","","All Sites","Sarawak","SEPA","","","",""
"","","","TRUE","","All Sites","EFS","SHEARRER UNIT 1H","","","",""
"","","","TRUE","","All Sites","EFS","SHK UNIT 1H","","","",""
"","","","TRUE","","All Sites","EFS","SISTI EAST UNIT 1H","","","",""
"","","","TRUE","","All Sites","EFS","SISTI EAST UNIT 4H","","","",""
"","","","TRUE","","All Sites","EFS","SISTI WEST UNIT 3H","","","",""
"","","","TRUE","","All Sites","EFS","SMITH UNIT 1H","","","",""
"","","","TRUE","","All Sites","Sarawak","SNAA","","","",""
"","","","TRUE","","All Sites","EFS","STUMBERG ESTATE 1H","","","",""
"","","","TRUE","","All Sites","EFS","STUMBERG ESTATE 8H","","","",""
"","","","TRUE","","All Sites","EFS","STUMBERG ESTATE UNIT B 1H","","","",""
"","","","TRUE","","All Sites","EFS","SUNFLOWER UNIT 1H","","","",""
"","","","TRUE","","All Sites","EFS","SWAIM 11H","","","",""
"","","","TRUE","","All Sites","EFS","SWAIM 1H","","","",""
"","","","TRUE","","All Sites","EFS","SWAIM 22H","","","",""
"","","","TRUE","","All Sites","EFS","SWAIM 24H_ST","","","",""
"","","","TRUE","","All Sites","EFS","SWAIM 25H","","","",""
"","","","TRUE","","All Sites","EFS","SWAIM 3H","","","",""
"","","","TRUE","","All Sites","EFS","SWAIM 5H","","","",""
"","","","TRUE","","All Sites","EFS","SWAIM 7H","","","",""
"","","","TRUE","","All Sites","EFS","SWAIM CENTRAL FACILITY","","","",""
"","","","TRUE","","All Sites","EFS","TEAL UNIT C 1H","","","",""
"","","","TRUE","","All Sites","EFS","TEAL UNIT C 3H","","","",""
"","","","TRUE","","All Sites","EFS","TEAL UNIT D 3H","","","",""
"","","","TRUE","","All Sites","EFS","THIER UNIT 1H","","","",""
"","","","TRUE","","All Sites","GOM","Thunderhawk","","","",""
"","","","TRUE","","All Sites","EFS","TILDEN NORTH","","","",""
"","","","TRUE","","All Sites","EFS","Tilden Office","","","",""
"","","","TRUE","","All Sites","EFS","Tom Facility","","","",""
"","","","TRUE","","All Sites","EFS","TOM UNIT 1H","","","",""
"","","","TRUE","","All Sites","Alberta","Tupper Main","","","",""
"","","","TRUE","","All Sites","Alberta","Tupper West","","","",""
"","","","TRUE","","All Sites","EFS","TURNBOW EAST UNIT 1H","","","",""
"","","","TRUE","","All Sites","EFS","TURNER UNIT 1H","","","",""
"","","","TRUE","","All Sites","EFS","TYLER 13H","","","",""
"","","","TRUE","","All Sites","EFS","TYLER 14H","","","",""
"","","","TRUE","","All Sites","EFS","TYLER 16H","","","",""
"","","","TRUE","","All Sites","EFS","TYLER 1H","","","",""
"","","","TRUE","","All Sites","EFS","TYLER 3H","","","",""
"","","","TRUE","","All Sites","EFS","TYLER 7H","","","",""
"","","","TRUE","","All Sites","EFS","TYLER 9H","","","",""
"","","","TRUE","","All Sites","EFS","TYLER UNIT E 1H","","","",""
"","","","TRUE","","All Sites","EFS","TYLER UNIT G 1H","","","",""
"","","","TRUE","","All Sites","Vietnam Drilling","","","","",""
"","","","TRUE","","All Sites","GOM","VK-786 / Dalmatian","","","",""
"","","","TRUE","","All Sites","EFS","WALLY UNIT A 1H","","","",""
"","","","TRUE","","All Sites","EFS","WALLY UNIT B 3H","","","",""
"","","","TRUE","","All Sites","EFS","WALNUT 1H","","","",""
"","","","TRUE","","All Sites","Remote/VPN Offices","Washington DC","","","",""
"","","","TRUE","","All Sites","EFS","WHEELER UNIT 1H","","","",""
"","","","TRUE","","All Sites","EFS","WHITE TAIL UNIT 1H","","","",""
"","","","TRUE","","All Sites","EFS","WHITFIELD EAST UNIT 1H","","","",""
"","","","TRUE","","All Sites","EFS","WHITFIELD EAST UNIT 2H","","","",""
"","","","TRUE","","All Sites","EFS","WHITFIELD EAST UNIT 3H","","","",""
"","","","TRUE","","All Sites","EFS","WHITFIELD EAST UNIT 4H","","","",""
"","","","TRUE","","All Sites","EFS","WHITFIELD WEST UNIT 1H","","","",""
"","","","TRUE","","All Sites","EFS","WHITFIELD WEST UNIT 2H","","","",""
"","","","TRUE","","All Sites","EFS","WILLIAMS UNIT 1H","","","",""
"","","","TRUE","","All Sites","EFS","WILLIAMS UNIT 2H","","","",""
"","","","TRUE","","All Sites","EFS","WILSON UNIT 1H","","","",""
"","","","TRUE","","All Sites","Sarawak","WPFA","","","",""
"","","","TRUE","","All Sites","Sarawak","WPIA","","","",""
"","","","TRUE","","All Sites","Sarawak","WPPA","","","",""
"","","","TRUE","","All Sites","Sarawak","WPPB","","","",""
"","","","TRUE","","All Sites","EFS","Y-BAR 11H","","","",""
"","","","TRUE","","All Sites","EFS","Y-BAR 14 H","","","",""
"","","","TRUE","","All Sites","EFS","Y-BAR 1H","","","",""
"","","","TRUE","","All Sites","EFS","Y-BAR 21H","","","",""
"","","","TRUE","","All Sites","EFS","Y-BAR 22H","","","",""
"","","","TRUE","","All Sites","EFS","Y-BAR 25H","","","",""
"","","","TRUE","","All Sites","EFS","Y-BAR 4H","","","",""
"","","","TRUE","","All Sites","EFS","Y-BAR 8H","","","",""
"","","","TRUE","","All Sites","EFS","Y-BAR CENTRAL FACILITY","","","",""
"","","","TRUE","","All Sites","EFS","Y-BAR EAST UNIT A 1H","","","",""
"","","","TRUE","","All Sites","EFS","Y-BAR OIL TERMINAL/ TANK BATTERIES","","","",""
"","","","TRUE","","All Sites","EFS","Y-BAR UNIT A 1H","","","",""
"","","","TRUE","","All Sites","EFS","Y-BAR UNIT C 1H","","","",""
"","","","TRUE","","All Sites","EFS","Y-BAR UNIT D 2H","","","",""
"","","","TRUE","","All Sites","EFS","Y-BAR WEST 1H","","","",""
